respondent_id,persona,age_group,gender,city_tier,occupation,income_band,monthly_income_inr,purchase_frequency,preferred_categories,purchase_motivation,brand_affinity,brand_tier_score,resale_experience,preferred_channel,resale_pain_points,counterfeit_concern,auth_premium_willingness,escrow_preference,style_subcategories,watch_styles,color_material_pref,occasion_usage,avg_spend_band,avg_spend_inr,annual_budget_band,annual_budget_inr,resale_new_pref_score,desired_features,trust_drivers,adoption_likelihood,adoption_score,adoption_binary,discovery_channel,research_days,social_influence_source,peer_spend_band,price_switch_threshold_pct,incumbent_platform_trust,festive_purchase,trust_composite_score,spend_to_income_ratio,category_diversity_score,feature_demand_score,research_days_flagged,high_spend_ratio_flag
LL_0011,Aspirational Professional,45–54,Female,Tier 3 / Small Town,Salaried – Private,"₹50,000–₹1,00,000",86640,Once every 2–3 months,"Handbags & Purses, Watches & Timepieces, Fine Jewelry & Accessories, Small Leather Goods, Apparel & Ready-to-Wear","Status and social signaling, Investment / asset appreciation","Aspirational luxury (Gucci, Prada, Burberry)",3,Yes – bought only,Have not used any platform,"Lack of transparent pricing, Complicated or risky payment process, Unreliable logistics and delivery",4,5,4,"Sneakers – Classic (Air Jordan, Stan Smith), Sneakers – Hype / Limited Edition (Yeezy, Off-White)",Modern limited editions / collabs,"Neutral tones (black, beige, tan), Exotic materials (python, ostrich, croc), Classic leather (smooth, grained), Monogram / logo-heavy designs, Minimalist / logo-free aesthetic, Gold hardware preference, Silver hardware preference","Daily / everyday use, Professional / office settings, Long-term investment / asset to hold","₹1,50,001–₹5,00,000",325000,"₹25,000–₹1,00,000",62500,4,"Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker","Partnerships with luxury brands, Media coverage and social proof",Very Likely,5,1,Friends & Family,10,Self-driven / independent,"₹1,00,001–₹2,50,000",42,3,Yes,4.33,3.75,5,3,0,0
LL_0012,Cautious Explorer,25–34,Female,Tier 1 (Metro),Business Owner/Entrepreneur,"₹50,000–₹1,00,000",75000,Once a year or less,"Handbags & Purses, Small Leather Goods, Apparel & Ready-to-Wear","Personal reward / self-indulgence, Status and social signaling","Aspirational luxury (Gucci, Prada, Burberry)",3,"No, not interested",Have not used any platform,Unreliable logistics and delivery,3,4,4,"Structured handbags (Birkin, Classic Flap), Casual/tote bags (Neverfull, Speedy), Sneakers – Classic (Air Jordan, Stan Smith)",Not applicable,"Bold / statement colors (red, cobalt)",Daily / everyday use,"₹50,001–₹1,50,000",100000,"Below ₹25,000",15000,4,"AI-powered authentication certificate, Escrow payment protection, Portfolio / Vault tracker, Dedicated customer support SLA","Verified seller ratings and reviews, Partnerships with luxury brands, Transparent pricing benchmarks",Likely,4,1,Instagram / Reels,26,Self-driven / independent,"₹1,00,001–₹2,50,000",34,3,Yes,3.67,1.33,3,4,0,0
LL_0013,Professional Reseller,25–34,Male,Tier 1 (Metro),Business Owner/Entrepreneur,"₹2,50,001–₹5,00,000",375000,Multiple times a month,Small Leather Goods,"Investment / asset appreciation, Gifting to others","True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,Yes – both bought and sold,Instagram / WhatsApp (informal),"Risk of counterfeit / fake items, Lack of transparent pricing",5,2,3,Gold/diamond fine jewelry,Not applicable,Gold hardware preference,"Professional / office settings, Special events (weddings, parties), Long-term investment / asset to hold","₹10,000–₹50,000",30000,"₹3,00,001–₹10,00,000",650000,9,"AI-powered authentication certificate, Escrow payment protection, Live auctions / social bidding, Trade-in or buy-back guarantee, Dedicated customer support SLA",Physical authentication centers in India,Unlikely,2,0,Brand store / website,3,Self-driven / independent,"₹5,00,001–₹10,00,000",15,3,Yes,3.33,0.08,1,5,0,0
LL_0014,Cautious Explorer,18–24,Male,Tier 2,Salaried – Private,"₹50,000–₹1,00,000",75000,Once a year or less,"Handbags & Purses, Sneakers & Footwear, Fine Jewelry & Accessories, Small Leather Goods, Apparel & Ready-to-Wear","Gifting to others, Sustainability (pre-owned is eco-friendly)","Aspirational luxury (Gucci, Prada, Burberry)",3,"No, but open to it",Have not used any platform,"Risk of counterfeit / fake items, Difficulty verifying item condition, Lack of transparent pricing, Complicated or risky payment process, No post-sale recourse or return policy",5,4,5,"Structured handbags (Birkin, Classic Flap), Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith), Gold/diamond fine jewelry","Sports/dive watches (Rolex Sub, AP Royal Oak), Dress watches (Cartier Tank, Patek Calatrava), Chronographs (Daytona, Speedmaster), Modern limited editions / collabs","Bold / statement colors (red, cobalt), Classic leather (smooth, grained), Minimalist / logo-free aesthetic, Gold hardware preference, Silver hardware preference","Daily / everyday use, Professional / office settings, Long-term investment / asset to hold","₹50,001–₹1,50,000",100000,"₹25,000–₹1,00,000",62500,4,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Trade-in or buy-back guarantee, Dedicated customer support SLA","Verified seller ratings and reviews, Partnerships with luxury brands, Transparent pricing benchmarks",Unlikely,2,0,Friends & Family,25,Family,"₹50,000–₹1,00,000",39,2,No,4.67,1.33,5,6,0,0
LL_0015,Gen Z / Hype Buyer,18–24,Female,Tier 1 (Metro),Freelancer/Consultant,"₹50,000–₹1,00,000",75000,Multiple times a month,"Watches & Timepieces, Sneakers & Footwear, Fine Jewelry & Accessories","Personal reward / self-indulgence, Sustainability (pre-owned is eco-friendly)","Aspirational luxury (Gucci, Prada, Burberry)",3,Yes – bought only,Instagram / WhatsApp (informal),"Risk of counterfeit / fake items, Difficulty verifying item condition, Complicated or risky payment process",3,3,3,"Structured handbags (Birkin, Classic Flap), Sneakers – Classic (Air Jordan, Stan Smith)","Sports/dive watches (Rolex Sub, AP Royal Oak), Dress watches (Cartier Tank, Patek Calatrava), Modern limited editions / collabs","Neutral tones (black, beige, tan), Bold / statement colors (red, cobalt), Monogram / logo-heavy designs, Gold hardware preference, Silver hardware preference","Daily / everyday use, Special events (weddings, parties)","₹10,000–₹50,000",30000,"₹25,000–₹1,00,000",62500,7,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Live auctions / social bidding, Trade-in or buy-back guarantee, Dedicated customer support SLA","Media coverage and social proof, Transparent pricing benchmarks",Unlikely,2,0,Instagram / Reels,10,Family,"₹1,00,001–₹2,50,000",18,5,Yes,3.0,0.4,3,7,0,0
LL_0016,Aspirational Professional,25–34,Female,Tier 1 (Metro),Salaried – Govt/PSU,"₹2,50,001–₹5,00,000",375000,Once every 2–3 months,"Handbags & Purses, Fine Jewelry & Accessories, Apparel & Ready-to-Wear","Personal reward / self-indulgence, Status and social signaling, Investment / asset appreciation","Aspirational luxury (Gucci, Prada, Burberry)",3,Yes – both bought and sold,Have not used any platform,"Risk of counterfeit / fake items, Difficulty verifying item condition, Lack of transparent pricing, Complicated or risky payment process, Unreliable logistics and delivery, No post-sale recourse or return policy",4,4,4,"Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus)","Sports/dive watches (Rolex Sub, AP Royal Oak), Vintage / classic pieces (pre-2000), Modern limited editions / collabs",Silver hardware preference,"Daily / everyday use, Professional / office settings, Special events (weddings, parties), Long-term investment / asset to hold","₹50,001–₹1,50,000",100000,"₹1,00,001–₹3,00,000",200000,5,Live auctions / social bidding,Physical authentication centers in India,Likely,4,1,Brand store / website,22,Social media influencers,"₹2,50,001–₹5,00,000",45,3,Yes,4.0,0.27,3,1,0,0
LL_0017,Gen Z / Hype Buyer,18–24,Male,Tier 1 (Metro),Salaried – Private,"Below ₹50,000",35000,Once every 2–3 months,"Handbags & Purses, Watches & Timepieces, Sneakers & Footwear, Fine Jewelry & Accessories, Small Leather Goods, Apparel & Ready-to-Wear",Personal reward / self-indulgence,"True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,Yes – both bought and sold,Have not used any platform,"Risk of counterfeit / fake items, Difficulty verifying item condition, Complicated or risky payment process, Unreliable logistics and delivery",5,4,4,"Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith), Sneakers – Hype / Limited Edition (Yeezy, Off-White)",Not applicable,"Bold / statement colors (red, cobalt), Exotic materials (python, ostrich, croc)",Professional / office settings,"₹50,001–₹1,50,000",100000,"₹25,000–₹1,00,000",62500,5,"AI-powered authentication certificate, Blockchain-backed ownership record",Transparent pricing benchmarks,Likely,4,1,Instagram / Reels,5,Family,"Below ₹50,000",12,4,No,4.33,2.86,6,2,0,0
LL_0018,HNW Collector,45–54,Male,Tier 1 (Metro),Business Owner/Entrepreneur,"₹5,00,001–₹10,00,000",750000,2–3 times a year,"Watches & Timepieces, Small Leather Goods",Status and social signaling,"True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,"No, but open to it",Vestiaire Collective / Tradesy (international),"Risk of counterfeit / fake items, Difficulty verifying item condition, Lack of transparent pricing, Complicated or risky payment process, Unreliable logistics and delivery, No post-sale recourse or return policy",5,5,5,"Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus)",Not applicable,"Neutral tones (black, beige, tan), Bold / statement colors (red, cobalt), Exotic materials (python, ostrich, croc), Classic leather (smooth, grained), Minimalist / logo-free aesthetic","Professional / office settings, Special events (weddings, parties), Long-term investment / asset to hold","₹5,00,001–₹15,00,000",1000000,"Above ₹30,00,000",4000000,6,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Live auctions / social bidding, Trade-in or buy-back guarantee, Dedicated customer support SLA","Partnerships with luxury brands, Transparent pricing benchmarks, Physical authentication centers in India",Unlikely,2,0,Instagram / Reels,49,Family,"Above ₹10,00,000",15,3,Yes,5.0,1.33,2,7,0,0
LL_0019,Cautious Explorer,55+,Female,Tier 2,Business Owner/Entrepreneur,"₹50,000–₹1,00,000",75000,Once every 2–3 months,Watches & Timepieces,"Personal reward / self-indulgence, Investment / asset appreciation, Gifting to others","Aspirational luxury (Gucci, Prada, Burberry)",3,Yes – bought only,Have not used any platform,"Risk of counterfeit / fake items, Difficulty verifying item condition, Lack of transparent pricing, Complicated or risky payment process, No post-sale recourse or return policy",4,2,3,"Dress/sport watches (Submariner, Nautilus), Gold/diamond fine jewelry","Sports/dive watches (Rolex Sub, AP Royal Oak), Dress watches (Cartier Tank, Patek Calatrava), Chronographs (Daytona, Speedmaster), Vintage / classic pieces (pre-2000)","Exotic materials (python, ostrich, croc)","Daily / everyday use, Special events (weddings, parties), Long-term investment / asset to hold","₹50,001–₹1,50,000",100000,"₹1,00,001–₹3,00,000",200000,5,"Blockchain-backed ownership record, Dedicated customer support SLA","Partnerships with luxury brands, Transparent pricing benchmarks",Very Unlikely,1,0,Instagram / Reels,17,Family,"₹50,000–₹1,00,000",35,2,Yes,3.0,1.33,1,2,0,0
LL_0020,Professional Reseller,55+,Prefer not to say,Tier 1 (Metro),Freelancer/Consultant,"₹2,50,001–₹5,00,000",375000,Multiple times a month,Handbags & Purses,Investment / asset appreciation,"True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,Yes – bought only,Darveys / Luxepolis / Confidential Couture (India),"Risk of counterfeit / fake items, Difficulty verifying item condition, Complicated or risky payment process, Unreliable logistics and delivery",4,4,4,"Structured handbags (Birkin, Classic Flap), Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith), Sneakers – Hype / Limited Edition (Yeezy, Off-White), Gold/diamond fine jewelry","Sports/dive watches (Rolex Sub, AP Royal Oak), Chronographs (Daytona, Speedmaster)","Monogram / logo-heavy designs, Minimalist / logo-free aesthetic","Daily / everyday use, Professional / office settings, Special events (weddings, parties), Long-term investment / asset to hold","₹5,00,001–₹15,00,000",1000000,"Above ₹30,00,000",4000000,9,"AI-powered authentication certificate, Escrow payment protection, Dedicated customer support SLA",Verified seller ratings and reviews,Unlikely,2,0,YouTube,14,Self-driven / independent,"₹2,50,001–₹5,00,000",30,3,No,4.0,2.67,1,3,0,0
LL_0021,Professional Reseller,25–34,Male,Tier 1 (Metro),Business Owner/Entrepreneur,"₹1,00,001–₹2,50,000",175000,Once every 2–3 months,"Handbags & Purses, Small Leather Goods","Status and social signaling, Investment / asset appreciation, Gifting to others","Aspirational luxury (Gucci, Prada, Burberry)",3,Yes – both bought and sold,Vestiaire Collective / Tradesy (international),"Risk of counterfeit / fake items, Difficulty verifying item condition, No post-sale recourse or return policy",5,3,4,"Sneakers – Classic (Air Jordan, Stan Smith)",Not applicable,"Neutral tones (black, beige, tan), Exotic materials (python, ostrich, croc), Classic leather (smooth, grained), Monogram / logo-heavy designs, Minimalist / logo-free aesthetic, Gold hardware preference, Silver hardware preference","Professional / office settings, Special events (weddings, parties)","₹10,000–₹50,000",30000,"₹10,00,001–₹30,00,000",2000000,6,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Live auctions / social bidding, Dedicated customer support SLA",Physical authentication centers in India,Neutral,3,0,Online article / blog,3,Self-driven / independent,"₹2,50,001–₹5,00,000",11,3,No,4.0,0.17,2,6,0,0
LL_0022,Aspirational Professional,35–44,Male,Tier 1 (Metro),Business Owner/Entrepreneur,"Below ₹50,000",35000,Once a month,"Handbags & Purses, Watches & Timepieces, Sneakers & Footwear, Fine Jewelry & Accessories, Small Leather Goods","Investment / asset appreciation, Gifting to others","Aspirational luxury (Gucci, Prada, Burberry)",3,Yes – sold only,Have not used any platform,"Risk of counterfeit / fake items, Lack of transparent pricing, Unreliable logistics and delivery",3,3,4,"Structured handbags (Birkin, Classic Flap), Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith), Sneakers – Hype / Limited Edition (Yeezy, Off-White), Gold/diamond fine jewelry","Sports/dive watches (Rolex Sub, AP Royal Oak), Dress watches (Cartier Tank, Patek Calatrava), Chronographs (Daytona, Speedmaster), Vintage / classic pieces (pre-2000), Modern limited editions / collabs","Monogram / logo-heavy designs, Gold hardware preference","Daily / everyday use, Professional / office settings, Special events (weddings, parties), Long-term investment / asset to hold","₹50,001–₹1,50,000",100000,"₹25,000–₹1,00,000",62500,5,"Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Dedicated customer support SLA","Partnerships with luxury brands, Media coverage and social proof",Very Likely,5,1,Instagram / Reels,3,Peers / friends,"Below ₹50,000",23,4,No,3.33,2.86,5,4,0,0
